
[39200] train_recon_loss:12.076, test_recon_loss:12.527
[39400] train_recon_loss:12.281, test_recon_loss:12.431
[39600] train_recon_loss:11.856, test_recon_loss:12.311
[39800] train_recon_loss:12.316, test_recon_loss:12.342
[40000] train_recon_loss:12.255, test_recon_loss:12.360
[40200] train_recon_loss:11.994, test_recon_loss:12.454
[40400] train_recon_loss:12.218, test_recon_loss:12.388
[40600] train_recon_loss:11.829, test_recon_loss:12.286
[40800] train_recon_loss:12.291, test_recon_loss:12.316
[41000] train_recon_loss:12.185, test_recon_loss:12.319
[41200] train_recon_loss:11.944, test_recon_loss:12.374
[41400] train_recon_loss:12.177, test_recon_loss:12.356
[41600] train_recon_loss:11.770, test_recon_loss:12.247
[41800] train_recon_loss:12.248, test_recon_loss:12.305
[42000] train_recon_loss:12.129, test_recon_loss:12.291
[42200] train_recon_loss:11.896, test_recon_loss:12.288
[42400] train_recon_loss:12.112, test_recon_loss:12.320
[42600] train_recon_loss:11.725, test_recon_loss:12.198
[42800] train_recon_loss:12.175, test_recon_loss:12.280
[43000] train_recon_loss:12.080, test_recon_loss:12.254
[43200] train_recon_loss:11.879, test_recon_loss:12.223
[43400] train_recon_loss:12.062, test_recon_loss:12.288
[43600] train_recon_loss:11.684, test_recon_loss:12.159
[43800] train_recon_loss:12.078, test_recon_loss:12.231
[44000] train_recon_loss:12.037, test_recon_loss:12.215
[44200] train_recon_loss:11.855, test_recon_loss:12.175
[44400] train_recon_loss:12.007, test_recon_loss:12.259
[44600] train_recon_loss:11.656, test_recon_loss:12.132
[44800] train_recon_loss:12.010, test_recon_loss:12.185
[45000] train_recon_loss:12.003, test_recon_loss:12.170
[45200] train_recon_loss:11.819, test_recon_loss:12.133
[45400] train_recon_loss:11.940, test_recon_loss:12.225
[45600] train_recon_loss:11.640, test_recon_loss:12.103
[45800] train_recon_loss:11.949, test_recon_loss:12.133
[46000] train_recon_loss:11.976, test_recon_loss:12.128
[46200] train_recon_loss:11.780, test_recon_loss:12.102
[46400] train_recon_loss:11.880, test_recon_loss:12.185
[46600] train_recon_loss:11.617, test_recon_loss:12.076
[46800] train_recon_loss:11.906, test_recon_loss:12.088
[47000] train_recon_loss:11.953, test_recon_loss:12.098
[47200] train_recon_loss:11.745, test_recon_loss:12.077
[47400] train_recon_loss:11.814, test_recon_loss:12.132
[47600] train_recon_loss:11.591, test_recon_loss:12.048
[47800] train_recon_loss:11.874, test_recon_loss:12.053
[48000] train_recon_loss:11.917, test_recon_loss:12.065
[48200] train_recon_loss:11.717, test_recon_loss:12.056
[48400] train_recon_loss:11.758, test_recon_loss:12.079
[48600] train_recon_loss:11.567, test_recon_loss:12.026
[48800] train_recon_loss:11.841, test_recon_loss:12.025
[49000] train_recon_loss:11.882, test_recon_loss:12.033
[49200] train_recon_loss:11.703, test_recon_loss:12.040
[49400] train_recon_loss:11.721, test_recon_loss:12.039
[49600] train_recon_loss:11.543, test_recon_loss:12.012
[49800] train_recon_loss:11.819, test_recon_loss:11.999
[50000] train_recon_loss:11.860, test_recon_loss:12.009
python main_mod.py --train True --ckpt_name None --testing_method supervised_decoder     --encoder B --decoder BLT --sbd False --encoder_target_type depth_black_white_xy_xy --n_filter 32 --n_rep 4     --optim_type SGD --batch_size 100 --lr 1e-2 --beta 0     --max_epoch 50 --gather_step 200 --display_step 50 --save_step 2500 
