
[31400] train_recon_loss:12.494, test_recon_loss:12.793
[31600] train_recon_loss:12.254, test_recon_loss:12.747
[31800] train_recon_loss:12.657, test_recon_loss:12.935
[32000] train_recon_loss:12.505, test_recon_loss:12.816
[32200] train_recon_loss:12.550, test_recon_loss:12.849
[32400] train_recon_loss:12.440, test_recon_loss:12.694
[32600] train_recon_loss:12.178, test_recon_loss:12.648
[32800] train_recon_loss:12.551, test_recon_loss:12.808
[33000] train_recon_loss:12.439, test_recon_loss:12.723
[33200] train_recon_loss:12.476, test_recon_loss:12.735
[33400] train_recon_loss:12.362, test_recon_loss:12.621
[33600] train_recon_loss:12.139, test_recon_loss:12.591
[33800] train_recon_loss:12.460, test_recon_loss:12.692
[34000] train_recon_loss:12.366, test_recon_loss:12.632
[34200] train_recon_loss:12.403, test_recon_loss:12.652
[34400] train_recon_loss:12.307, test_recon_loss:12.539
[34600] train_recon_loss:12.074, test_recon_loss:12.547
[34800] train_recon_loss:12.361, test_recon_loss:12.583
[35000] train_recon_loss:12.288, test_recon_loss:12.538
[35200] train_recon_loss:12.350, test_recon_loss:12.591
[35400] train_recon_loss:12.273, test_recon_loss:12.477
[35600] train_recon_loss:12.022, test_recon_loss:12.514
[35800] train_recon_loss:12.277, test_recon_loss:12.500
[36000] train_recon_loss:12.260, test_recon_loss:12.453
[36200] train_recon_loss:12.283, test_recon_loss:12.558
[36400] train_recon_loss:12.217, test_recon_loss:12.427
[36600] train_recon_loss:11.988, test_recon_loss:12.476
[36800] train_recon_loss:12.203, test_recon_loss:12.437
[37000] train_recon_loss:12.181, test_recon_loss:12.382
[37200] train_recon_loss:12.213, test_recon_loss:12.525
[37400] train_recon_loss:12.148, test_recon_loss:12.380
[37600] train_recon_loss:11.934, test_recon_loss:12.440
[37800] train_recon_loss:12.134, test_recon_loss:12.391
[38000] train_recon_loss:12.081, test_recon_loss:12.337
[38200] train_recon_loss:12.121, test_recon_loss:12.461
[38400] train_recon_loss:12.054, test_recon_loss:12.329
[38600] train_recon_loss:11.875, test_recon_loss:12.389
[38800] train_recon_loss:12.077, test_recon_loss:12.335
[39000] train_recon_loss:12.006, test_recon_loss:12.311
[39200] train_recon_loss:12.048, test_recon_loss:12.379
[39400] train_recon_loss:11.978, test_recon_loss:12.292
[39600] train_recon_loss:11.836, test_recon_loss:12.318
[39800] train_recon_loss:12.053, test_recon_loss:12.282
[40000] train_recon_loss:11.941, test_recon_loss:12.263
[40200] train_recon_loss:11.986, test_recon_loss:12.290
[40400] train_recon_loss:11.896, test_recon_loss:12.246
[40600] train_recon_loss:11.807, test_recon_loss:12.271
[40800] train_recon_loss:12.012, test_recon_loss:12.247
[41000] train_recon_loss:11.890, test_recon_loss:12.207
[41200] train_recon_loss:11.943, test_recon_loss:12.233
[41400] train_recon_loss:11.818, test_recon_loss:12.198
[41600] train_recon_loss:11.760, test_recon_loss:12.234
[41800] train_recon_loss:11.956, test_recon_loss:12.206
[42000] train_recon_loss:11.821, test_recon_loss:12.163
[42200] train_recon_loss:11.933, test_recon_loss:12.209
[42400] train_recon_loss:11.773, test_recon_loss:12.147
[42600] train_recon_loss:11.714, test_recon_loss:12.193
[42800] train_recon_loss:11.912, test_recon_loss:12.154
[43000] train_recon_loss:11.787, test_recon_loss:12.125
[43200] train_recon_loss:11.896, test_recon_loss:12.175
[43400] train_recon_loss:11.735, test_recon_loss:12.108
[43600] train_recon_loss:11.665, test_recon_loss:12.155
[43800] train_recon_loss:11.880, test_recon_loss:12.132
[44000] train_recon_loss:11.759, test_recon_loss:12.091
[44200] train_recon_loss:11.857, test_recon_loss:12.105
[44400] train_recon_loss:11.704, test_recon_loss:12.077
[44600] train_recon_loss:11.648, test_recon_loss:12.105
[44800] train_recon_loss:11.841, test_recon_loss:12.106
[45000] train_recon_loss:11.725, test_recon_loss:12.065
[45200] train_recon_loss:11.836, test_recon_loss:12.047
[45400] train_recon_loss:11.672, test_recon_loss:12.050
[45600] train_recon_loss:11.634, test_recon_loss:12.071
[45800] train_recon_loss:11.796, test_recon_loss:12.080
[46000] train_recon_loss:11.691, test_recon_loss:12.032
[46200] train_recon_loss:11.819, test_recon_loss:12.010
[46400] train_recon_loss:11.639, test_recon_loss:12.026
[46600] train_recon_loss:11.608, test_recon_loss:12.042
[46800] train_recon_loss:11.757, test_recon_loss:12.055
[47000] train_recon_loss:11.661, test_recon_loss:12.002
[47200] train_recon_loss:11.782, test_recon_loss:11.986
[47400] train_recon_loss:11.605, test_recon_loss:12.004
[47600] train_recon_loss:11.578, test_recon_loss:12.011
[47800] train_recon_loss:11.723, test_recon_loss:12.023
[48000] train_recon_loss:11.629, test_recon_loss:11.979
[48200] train_recon_loss:11.752, test_recon_loss:11.965
[48400] train_recon_loss:11.565, test_recon_loss:11.975
[48600] train_recon_loss:11.552, test_recon_loss:11.984
[48800] train_recon_loss:11.702, test_recon_loss:11.993
[49000] train_recon_loss:11.585, test_recon_loss:11.957
[49200] train_recon_loss:11.715, test_recon_loss:11.945
[49400] train_recon_loss:11.526, test_recon_loss:11.946
[49600] train_recon_loss:11.532, test_recon_loss:11.961
[49800] train_recon_loss:11.678, test_recon_loss:11.964
[50000] train_recon_loss:11.545, test_recon_loss:11.934
python main_mod.py --train True --ckpt_name None --testing_method supervised_decoder     --encoder B --decoder BLT --sbd False --encoder_target_type depth_black_white_xy_xy --n_filter 64 --n_rep 4     --optim_type SGD --batch_size 100 --lr 1e-2 --beta 0     --max_epoch 50 --gather_step 200 --display_step 50 --save_step 2500 
