
[45800] train_recon_loss:11.673, test_recon_loss:12.065
[46000] train_recon_loss:11.759, test_recon_loss:12.050
[46200] train_recon_loss:11.630, test_recon_loss:12.037
[46400] train_recon_loss:11.792, test_recon_loss:12.165
[46600] train_recon_loss:11.513, test_recon_loss:12.056
[46800] train_recon_loss:11.630, test_recon_loss:12.035
[47000] train_recon_loss:11.737, test_recon_loss:12.025
[47200] train_recon_loss:11.600, test_recon_loss:12.012
[47400] train_recon_loss:11.718, test_recon_loss:12.114
[47600] train_recon_loss:11.451, test_recon_loss:12.022
[47800] train_recon_loss:11.609, test_recon_loss:12.010
[48000] train_recon_loss:11.706, test_recon_loss:12.001
[48200] train_recon_loss:11.572, test_recon_loss:11.993
[48400] train_recon_loss:11.655, test_recon_loss:12.060
[48600] train_recon_loss:11.413, test_recon_loss:11.987
[48800] train_recon_loss:11.581, test_recon_loss:11.984
[49000] train_recon_loss:11.665, test_recon_loss:11.973
[49200] train_recon_loss:11.537, test_recon_loss:11.972
[49400] train_recon_loss:11.600, test_recon_loss:12.006
[49600] train_recon_loss:11.381, test_recon_loss:11.964
[49800] train_recon_loss:11.551, test_recon_loss:11.960
[50000] train_recon_loss:11.613, test_recon_loss:11.939
python main_mod.py --train True --ckpt_name None --testing_method supervised_decoder     --encoder B --decoder BLT --sbd False --encoder_target_type depth_black_white_xy_xy --n_filter 32 --n_rep 8     --optim_type SGD --batch_size 100 --lr 1e-2 --beta 0     --max_epoch 50 --gather_step 200 --display_step 50 --save_step 2500 
